addr,name,symbol_class,runtime_tier,branch_count,pool_count,total_callers,first_caller
0x06037D74,DAT_06037D74,PROVIDE-alias,real-call,0,4,4,src\race\FUN_060351CC.s:6820 [pool]
0x06037E28,FUN_06037E28,global-FUN,real-call,0,5,5,src\race\FUN_06028000.s:467 [pool]
0x060384C4,FUN_060384C4,global-FUN,real-call,8,1,9,src\race\FUN_060351CC.s:6714 [branch]
0x060385CE,FUN_060385CE,global-FUN,real-call,7,0,7,src\race\FUN_060351CC.s:6718 [branch]
0x060386D8,FUN_060386D8,global-FUN,real-call,4,0,4,src\race\FUN_060351CC.s:6770 [branch]
0x06038A84,FUN_06038A84,global-FUN,real-call,0,0,0,
0x06038BC4,FUN_06038BC4,global-FUN,real-call,3,0,3,src\race\FUN_060351CC.s:6830 [branch]
0x06038C64,FUN_06038C64,global-FUN,real-call,7,0,7,src\race\FUN_060351CC.s:6782 [branch]
0x06038DD8,FUN_06038DD8,global-FUN,real-call,4,0,4,src\race\FUN_060351CC.s:6699 [branch]
0x06039014,FUN_06039014,global-FUN,real-call,0,1,1,src\race\FUN_060351CC.s:6826 [pool]
0x06039110,FUN_06039110,global-FUN,real-call,0,2,2,src\race\FUN_060351CC.s:6828 [pool]
0x0603938C,FUN_0603938C,global-FUN,real-call,0,0,0,
0x0603976C,FUN_0603976C,global-FUN,real-call,0,4,4,src\race\FUN_06028000.s:1096 [pool]
0x06039AA4,FUN_06039AA4,global-FUN,real-call,19,3,22,src\race\FUN_060351CC.s:8408 [branch]
0x06039B90,FUN_06039B90,global-FUN,real-call,1,1,2,src\race\FUN_060351CC.s:9153 [branch]
0x06039BE4,FUN_06039BE4,global-FUN,real-call,0,1,1,src\race\FUN_060351CC.s:7453 [pool]
0x06039DCC,FUN_06039DCC,global-FUN,real-call,0,4,4,src\race\FUN_060351CC.s:6822 [pool]
0x06039ED8,FUN_06039ED8,global-FUN,real-call,0,1,1,src\race\FUN_060351CC.s:6647 [pool]
0x0603A1A4,FUN_0603A1A4,global-FUN,real-call,0,1,1,src\race\FUN_060351CC.s:7143 [pool]
0x0603A548,FUN_0603A548,global-FUN,real-call,0,0,0,
0x0603A614,DAT_0603A614,PROVIDE-alias,real-call,0,3,3,src\race\FUN_060351CC.s:6824 [pool]
0x0603A650,FUN_0603A650,global-FUN,real-call,0,1,1,src\race\FUN_0602B22C.s:14484 [pool]
0x0603A784,DAT_0603A784,PROVIDE-alias,real-call,0,1,1,src\race\FUN_060351CC.s:9737 [pool]
0x0603AAFE,FUN_0603AAFE,global-FUN,tail-call,4,0,4,src\race\FUN_060351CC.s:13136 [branch]
0x0603AB14,FUN_0603AB14,global-FUN,real-call,3,0,3,src\race\FUN_060351CC.s:12536 [branch]
0x0603AB66,FUN_0603AB66,global-FUN,tail-call,1,0,1,src\race\FUN_060351CC.s:12475 [branch]
0x0603B248,DAT_0603B248,PROVIDE-alias,real-call,0,1,1,src\race\FUN_060351CC.s:10462 [pool]
0x0603B484,FUN_0603B484,global-FUN,tail-call,2,0,2,src\race\FUN_060351CC.s:14353 [branch]
0x0603B498,FUN_0603B498,global-FUN,tail-call,1,0,1,src\race\FUN_060351CC.s:13997 [branch]
0x0603B940,FUN_0603B940,global-FUN,real-call,0,1,1,src\race\FUN_06028000.s:2809 [pool]
0x0603BBCC,FUN_0603BBCC,global-FUN,tail-call,1,0,1,src\race\FUN_0603B940.s:309 [branch]
0x0603BEF4,FUN_0603BEF4,global-FUN,tail-call,1,0,1,src\race\FUN_0603B940.s:136 [branch]
0x0603BF0C,FUN_0603BF0C,global-FUN,tail-call,1,0,1,src\race\FUN_0603B940.s:65 [branch]
0x0603BF20,FUN_0603BF20,global-FUN,tail-call,1,0,1,src\race\FUN_0603B940.s:70 [branch]
0x0603BF5A,FUN_0603BF5A,global-FUN,tail-call,5,0,5,src\race\FUN_0603B940.s:73 [branch]
0x0603C094,FUN_0603C094,global-FUN,real-call,22,0,22,src\race\FUN_0603B940.s:90 [branch]
0x0603C274,FUN_0603C274,global-FUN,real-call,1,0,1,src\race\FUN_0603B940.s:933 [branch]
0x0603C2BC,FUN_0603C2BC,global-FUN,real-call,5,0,5,src\race\FUN_0603B940.s:81 [branch]
