addr,name,symbol_class,runtime_tier,direct_callers,shifted_callers,shift_detail,verdict_hint
0x0603BF20,FUN_0603BF20,global-FUN,tail-call,1,0,,has-direct-caller
0x0603BF5A,FUN_0603BF5A,global-FUN,tail-call,5,0,,has-direct-caller
0x0603C094,FUN_0603C094,global-FUN,real-call,22,0,,has-direct-caller
0x0603C274,FUN_0603C274,global-FUN,real-call,1,0,,has-direct-caller
0x0603C2BC,FUN_0603C2BC,global-FUN,real-call,5,0,,has-direct-caller
0x0603CDD8,FUN_0603CDD8,global-FUN,real-call,1,0,,has-direct-caller
0x0603CE88,FUN_0603CE88,global-FUN,real-call,2,0,,has-direct-caller
0x0603D0CA,FUN_0603D0CA,global-FUN,tail-call,4,0,,has-direct-caller
0x0603D4D0,FUN_0603D4D0,global-FUN,real-call,0,4,-2:4,callsite-shifted
0x0603D558,FUN_0603D558,global-FUN,real-call,4,0,,has-direct-caller
0x0603D980,FUN_0603D980,global-FUN,real-call,2,0,,has-direct-caller
0x0603DA52,DAT_0603DA52,PROVIDE-alias,real-call,1,0,,has-direct-caller
0x0603DA78,FUN_0603DA78,global-FUN,real-call,2,0,,has-direct-caller
0x0603DAEC,FUN_0603DAEC,global-FUN,real-call,1,0,,has-direct-caller
0x0603DC9C,FUN_0603DC9C,global-FUN,real-call,1,0,,has-direct-caller
0x0603DDAE,FUN_0603DDAE,global-FUN,real-call,5,0,,has-direct-caller
0x0603DE68,FUN_0603DE68,global-FUN,real-call,2,0,,has-direct-caller
0x0603DEBC,FUN_0603DEBC,global-FUN,real-call,3,0,,has-direct-caller
0x0603E14C,FUN_0603E14C,global-FUN,real-call,1,0,,has-direct-caller
0x0603E340,FUN_0603E340,global-FUN,real-call,2,0,,has-direct-caller
0x0603E488,FUN_0603E488,global-FUN,real-call,1,0,,has-direct-caller
0x0603E4A4,FUN_0603E4A4,global-FUN,real-call,1,0,,has-direct-caller
0x0603E7B0,FUN_0603E7B0,global-FUN,real-call,5,0,,has-direct-caller
0x0603E952,FUN_0603E952,global-FUN,real-call,5,0,,has-direct-caller
0x0603E9A4,FUN_0603E9A4,global-FUN,real-call,3,0,,has-direct-caller
0x0603E9E2,FUN_0603E9E2,global-FUN,real-call,3,0,,has-direct-caller
0x0603EAAA,FUN_0603EAAA,global-FUN,real-call,3,0,,has-direct-caller
