start,end,size,type,pinned_entry_tu,cdl_code_cs1,cdl_code_cs2,cdl_code_cs3,cdl_code_cs4,cdl_read_max,cdl_write_max,bp_attract,bp_threeseven,old_overlap,old_fn_count,old_sweep_dead_count,old_buckets,verdict,discrepancy
0x0602E770,0x0602E7EB,124,code,0,0,0,0,0,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602E7EC,0x0602E8AF,196,code,0,0,0,0,0,0,0,0,1,MERGED,4,3,B1,RETAIL_LIVE,
0x0602E8B0,0x0602E91D,110,code,0,0,0,0,38,0,0,0,0,MULTI_MISMATCH,2,1,B1,RETAIL_LIVE,
0x0602E91E,0x0602E927,10,code,0,0,0,0,0,0,0,0,0,NEW_INSIDE_OLD,1,0,,RETAIL_DEAD,OLD_LIVE_BUT_RETAIL_DEAD
0x0602E928,0x0602E987,96,code,0,0,0,0,0,14,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602E988,0x0602EA69,226,code,0,56,56,56,214,0,0,2,2,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602EA6A,0x0602ECA9,576,code,0,0,0,0,0,56,0,1,1,MULTI_MISMATCH,4,3,B1,RETAIL_LIVE,
0x0602ECAA,0x0602ED59,176,code,0,0,0,0,54,8,0,0,0,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602ED5A,0x0602ED83,42,code,0,0,0,0,0,0,0,0,3,MULTI_MISMATCH,2,0,,RETAIL_LIVE,
0x0602ED84,0x0602EDB3,48,code,0,0,0,0,0,0,0,0,1,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602EDB4,0x0602EDD9,38,code,0,0,0,0,0,0,0,0,3,NEW_INSIDE_OLD,1,0,,RETAIL_LIVE,
0x0602EDDA,0x0602EE63,138,code,0,0,0,0,0,20,0,0,0,MULTI_MISMATCH,2,1,B1,RETAIL_DEAD,
0x0602EE64,0x0602EEA3,64,code,0,0,0,0,0,0,0,0,3,EXACT,1,0,,RETAIL_LIVE,
0x0602EEA4,0x0602EECF,44,code,0,0,0,0,0,0,0,0,2,EXACT,1,0,,RETAIL_LIVE,
0x0602EED0,0x0602EF0F,64,code,0,0,0,0,0,0,0,0,3,MULTI_MISMATCH,2,0,,RETAIL_LIVE,
