addr,node,size,type,pinned_entry_tu,inbound_refs_pristine,zero_inbound,reach_pristine,reach_transplant,falls_into_next,entered_by_fallthrough,retail_verdict,leg_verdict,selfcheck
0x0602A9F0,src/race/asm/FUN_0602A9F0.c,148,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602AA84,src/race/asm/FUN_0602AA84.c,36,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602AAA8,src/race/asm/FUN_0602AAA8.c,232,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602AB90,src/race/asm/FUN_0602AB90.c,168,code,0,0,1,0,0,0,0,RETAIL_DEAD,T_UNREACH_RETAIL_DEAD,
0x0602AC38,src/race/asm/FUN_0602AC38.c,480,code,0,2,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602AE18,src/race/asm/FUN_0602AE18.c,44,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602AE44,src/race/asm/FUN_0602AE44.c,48,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602AE74,src/race/asm/FUN_0602AE74.c,356,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602AFD8,src/race/asm/FUN_0602AFD8.c,60,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602B014,src/race/asm/FUN_0602B014.c,236,code,0,1,0,1,1,1,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602B100,src/race/asm/FUN_0602B100.c,192,code,0,2,0,1,1,0,1,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602B1C0,src/race/asm/FUN_0602B1C0.c,92,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602B21C,src/race/asm/FUN_0602B21C.c,16,code,0,5,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602B22C,src/race/asm/FUN_0602B22C.c,1192,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602B6D4,src/race/asm/FUN_0602B6D4.c,996,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602BAB8,src/race/asm/FUN_0602BAB8.c,804,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602BDDC,src/race/asm/FUN_0602BDDC.c,226,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602BEBE,src/race/asm/FUN_0602BEBE.c,354,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C020,src/race/asm/FUN_0602C020.c,36,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C044,src/race/asm/FUN_0602C044.c,94,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C0A2,src/race/asm/FUN_0602C0A2.c,384,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C222,src/race/asm/FUN_0602C222.c,402,code,0,3,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C3B4,src/race/asm/FUN_0602C3B4.c,10,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C3BE,src/race/asm/FUN_0602C3BE.c,32,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C3DE,src/race/asm/FUN_0602C3DE.c,26,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C3F8,src/race/asm/FUN_0602C3F8.c,98,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C45A,src/race/asm/FUN_0602C45A.c,320,code,0,5,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602C59A,src/race/asm/FUN_0602C59A.c,302,code,0,2,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602C6C8,src/race/asm/FUN_0602C6C8.c,38,code,0,0,1,0,0,0,0,RETAIL_DEAD,T_UNREACH_RETAIL_DEAD,
0x0602C6EE,src/race/asm/FUN_0602C6EE.c,118,code,0,2,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602C764,src/race/asm/FUN_0602C764.c,96,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C7C4,src/race/asm/FUN_0602C7C4.c,144,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602C854,src/race/asm/FUN_0602C854.c,214,code,0,2,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602C92A,src/race/asm/FUN_0602C92A.c,234,code,0,3,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602CA14,src/race/asm/FUN_0602CA14.c,274,code,0,1,0,1,1,0,0,RETAIL_DEAD,T_REACH_RETAIL_DEAD,
0x0602CB26,src/race/asm/FUN_0602CB26.c,334,code,0,1,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
0x0602CC74,src/race/asm/FUN_0602CC74.c,16,code,0,2,0,1,1,0,0,RETAIL_LIVE,T_REACH_RETAIL_LIVE,
