retail_name,transplant_addr,real_sigs,phantom_sigs,verdict
FUN_06034C70,0x06034C70,0,0,SILENT
FUN_06034CEC,0x06034CEC,4,0,REAL_FIRE
FUN_06034D32,0x06034D32,1,1,REAL_FIRE
FUN_06034D90,0x06034D90,3,0,REAL_FIRE
FUN_06034F3C,0x06034F3C,1,1,REAL_FIRE
FUN_060351CC,0x060351C8,1,0,REAL_FIRE
FUN_060352E8,0x060352E4,0,0,SILENT
FUN_060354A0,0x0603549C,0,0,SILENT
FUN_06035624,0x06035620,0,0,SILENT
FUN_06035750,0x0603574C,0,0,SILENT
FUN_06035904,0x06035900,0,0,SILENT
FUN_06035B0E,0x06035B0A,0,0,SILENT
FUN_06035B30,0x06035B2C,0,0,SILENT
FUN_06035C58,0x06035C54,0,0,SILENT
FUN_06035C98,0x06035C94,0,0,SILENT
FUN_06035EE8,0x06035EE4,0,0,SILENT
FUN_06035F48,0x06035F44,0,0,SILENT
FUN_0603631C,0x06036318,0,0,SILENT
FUN_060366EC,0x060366E8,0,0,SILENT
FUN_06036764,0x06036760,0,0,SILENT
FUN_06036790,0x0603678C,0,0,SILENT
FUN_060368D4,0x060368D0,0,0,SILENT
FUN_06036914,0x06036910,0,0,SILENT
FUN_06036948,0x06036944,0,0,SILENT
FUN_06036990,0x0603698C,0,0,SILENT
FUN_06036A70,0x06036A6C,5,0,REAL_FIRE
FUN_06036AA8,0x06036AA4,8,0,REAL_FIRE
FUN_06036B60,0x06036B5C,1,1,REAL_FIRE
FUN_06036BB8,0x06036BB4,0,0,SILENT
FUN_06036CEC,0x06036CE8,0,0,SILENT
FUN_06036D52,0x06036D4E,0,0,SILENT
FUN_06036D7C,0x06036D78,0,0,SILENT
FUN_06036DA6,0x06036DA2,0,0,SILENT
FUN_06036E6C,0x06036E68,0,0,SILENT
FUN_06036E90,0x06036E8C,0,0,SILENT
FUN_06036EB4,0x06036EB0,0,0,SILENT
FUN_06036F40,0x06036F3C,0,0,SILENT
FUN_06036FDE,0x06036FDA,0,0,SILENT
FUN_0603704A,0x06037046,0,0,SILENT
FUN_060370A0,0x0603709C,0,0,SILENT
FUN_06037200,0x060371FC,0,0,SILENT
FUN_06037364,0x06037360,0,0,SILENT
FUN_0603740E,0x0603740A,0,0,SILENT
FUN_06037442,0x0603743E,0,0,SILENT
FUN_06037484,0x06037480,0,0,SILENT
FUN_060374F2,0x060374EE,0,0,SILENT
FUN_06037592,0x0603758E,0,0,SILENT
FUN_060375F6,0x060375F2,0,0,SILENT
FUN_06037654,0x06037650,0,0,SILENT
FUN_06037B98,0x06037B94,0,0,SILENT
FUN_06037BF8,0x06037BF4,0,0,SILENT
FUN_06037D58,0x06037D54,1,0,REAL_FIRE
FUN_06037D74,0x06037D70,1,0,REAL_FIRE
FUN_06037E28,0x06037E24,2,0,REAL_FIRE
FUN_060384C4,0x060384C0,1,0,REAL_FIRE
FUN_060385CE,0x060385CA,0,1,PHANTOM_ONLY
FUN_060386D8,0x060386D4,0,0,SILENT
FUN_06038A82,0x06038A7E,0,0,SILENT
FUN_06038BC4,0x06038BC0,0,0,SILENT
FUN_06038C64,0x06038C60,2,0,REAL_FIRE
FUN_06038DD8,0x06038DD4,0,0,SILENT
FUN_06039014,0x06039010,1,0,REAL_FIRE
FUN_06039110,0x0603910C,0,1,PHANTOM_ONLY
FUN_06039202,0x060391FE,0,0,SILENT
FUN_0603938A,0x06039386,1,0,REAL_FIRE
FUN_060394A8,0x060394A4,0,0,SILENT
FUN_0603976C,0x06039768,1,0,REAL_FIRE
FUN_06039952,0x0603994E,0,1,PHANTOM_ONLY
FUN_06039AA4,0x06039AA0,0,0,SILENT
FUN_06039B90,0x06039B8C,0,0,SILENT
FUN_06039BE4,0x06039BE0,2,0,REAL_FIRE
FUN_06039DCC,0x06039DC8,2,0,REAL_FIRE
FUN_06039ED8,0x06039ED4,0,0,SILENT
FUN_0603A1A4,0x0603A1A0,0,0,SILENT
FUN_0603A546,0x0603A542,0,0,SILENT
FUN_0603A614,0x0603A610,1,0,REAL_FIRE
FUN_0603A650,0x0603A64C,0,1,PHANTOM_ONLY
FUN_0603A6A0,0x0603A69C,0,0,SILENT
FUN_0603A6BC,0x0603A6B8,0,0,SILENT
FUN_0603A784,0x0603A780,0,0,SILENT
FUN_0603AB14,0x0603AB10,0,0,SILENT
FUN_0603AB66,0x0603AB62,0,0,SILENT
FUN_0603AF00,0x0603AEFC,0,0,SILENT
FUN_0603B248,0x0603B244,0,0,SILENT
FUN_0603B6FC,0x0603B6F8,0,0,SILENT
FUN_0603B940,0x0603B93C,1,0,REAL_FIRE
FUN_0603B97A,0x0603B976,1,1,REAL_FIRE
FUN_0603BFA0,0x0603BF9C,1,0,REAL_FIRE
FUN_0603BFE8,0x0603BFE4,0,1,PHANTOM_ONLY
FUN_0603BFFE,0x0603BFFA,0,0,SILENT
FUN_0603C094,0x0603C090,19,0,REAL_FIRE
FUN_0603C1AA,0x0603C1A6,1,1,REAL_FIRE
FUN_0603C274,0x0603C270,1,1,REAL_FIRE
FUN_0603C2BC,0x0603C2B8,3,1,REAL_FIRE
FUN_0603C304,0x0603C300,0,0,SILENT
FUN_0603C338,0x0603C334,0,0,SILENT
FUN_0603C46C,0x0603C468,0,0,SILENT
FUN_0603C5CC,0x0603C5C8,2,0,REAL_FIRE
FUN_0603C6A0,0x0603C69C,0,0,SILENT
FUN_0603C796,0x0603C792,0,0,SILENT
FUN_0603C96C,0x0603C968,0,0,SILENT
FUN_0603C994,0x0603C990,0,0,SILENT
FUN_0603CC68,0x0603CC64,0,0,SILENT
FUN_0603CD32,0x0603CD2E,0,0,SILENT
FUN_0603CDD8,0x0603CDD4,1,0,REAL_FIRE
FUN_0603CE88,0x0603CE84,1,0,REAL_FIRE
FUN_0603D0CA,0x0603D0C6,1,1,REAL_FIRE
FUN_0603D4CE,0x0603D4CA,3,1,REAL_FIRE
FUN_0603D558,0x0603D554,1,0,REAL_FIRE
FUN_0603D6E4,0x0603D6E0,0,0,SILENT
FUN_0603D980,0x0603D97C,1,0,REAL_FIRE
FUN_0603DA52,0x0603DA4E,0,1,PHANTOM_ONLY
FUN_0603DA78,0x0603DA74,2,0,REAL_FIRE
FUN_0603DAEC,0x0603DAE8,1,2,REAL_FIRE
FUN_0603DB12,0x0603DB0E,0,1,PHANTOM_ONLY
FUN_0603DB9C,0x0603DB98,0,0,SILENT
FUN_0603DC9C,0x0603DC98,0,0,SILENT
FUN_0603DD18,0x0603DD14,0,0,SILENT
FUN_0603DDAE,0x0603DDAA,0,0,SILENT
FUN_0603DE68,0x0603DE64,0,0,SILENT
FUN_0603DEBC,0x0603DEB8,0,0,SILENT
FUN_0603DEFC,0x0603DEF8,0,0,SILENT
FUN_0603DF28,0x0603DF24,0,0,SILENT
FUN_0603DF84,0x0603DF80,0,0,SILENT
FUN_0603E0BA,0x0603E0B6,0,0,SILENT
FUN_0603E14C,0x0603E148,0,0,SILENT
FUN_0603E340,0x0603E33C,0,0,SILENT
FUN_0603E394,0x0603E390,0,0,SILENT
FUN_0603E3E8,0x0603E3E4,0,0,SILENT
FUN_0603E45C,0x0603E458,0,0,SILENT
FUN_0603E472,0x0603E46E,0,0,SILENT
FUN_0603E488,0x0603E484,1,0,REAL_FIRE
FUN_0603E4A4,0x0603E4A0,1,1,REAL_FIRE
FUN_0603E60C,0x0603E608,0,0,SILENT
FUN_0603E774,0x0603E770,0,0,SILENT
FUN_0603E7B0,0x0603E7AC,0,0,SILENT
FUN_0603E914,0x0603E910,0,0,SILENT
FUN_0603E952,0x0603E94E,0,0,SILENT
FUN_0603E9A4,0x0603E9A0,1,0,REAL_FIRE
FUN_0603E9E2,0x0603E9DE,1,1,REAL_FIRE
FUN_0603EA6C,0x0603EA68,0,1,PHANTOM_ONLY
FUN_0603EAAA,0x0603EAA6,0,0,SILENT
FUN_0603EBE2,0x0603EBDE,30,0,REAL_FIRE
FUN_0603EC40,0x0603EC3C,33,0,REAL_FIRE
FUN_0603EC54,0x0603EC50,33,0,REAL_FIRE
FUN_0603EC86,0x0603EC82,4,3,REAL_FIRE
FUN_0603EC94,0x0603EC90,5,2,REAL_FIRE
FUN_0603ECF0,0x0603ECEC,0,3,PHANTOM_ONLY
FUN_0603ED00,0x0603ECFC,6,0,REAL_FIRE
FUN_0603ED5C,0x0603ED58,3,0,REAL_FIRE
FUN_0603ED92,0x0603ED8E,4,3,REAL_FIRE
FUN_0603EDC8,0x0603EDC4,2,0,REAL_FIRE
FUN_0603EDD6,0x0603EDD2,1,2,REAL_FIRE
FUN_0603EE34,0x0603EE30,1,1,REAL_FIRE
FUN_0603EE48,0x0603EE44,1,1,REAL_FIRE
FUN_0603EE64,0x0603EE60,1,1,REAL_FIRE
FUN_0603EEBC,0x0603EEB8,1,0,REAL_FIRE
FUN_0603EF8E,0x0603EF8A,0,0,SILENT
FUN_0603F03C,0x0603F038,0,0,SILENT
FUN_0603F054,0x0603F050,0,0,SILENT
FUN_0603F0B4,0x0603F0B0,0,0,SILENT
FUN_0603F0C2,0x0603F0BE,0,0,SILENT
FUN_0603F10E,0x0603F10A,6,0,REAL_FIRE
FUN_0603F132,0x0603F12E,3,0,REAL_FIRE
FUN_0603F166,0x0603F162,3,3,REAL_FIRE
FUN_0603F458,0x0603F454,0,0,SILENT
FUN_0603F4B0,0x0603F4AC,0,0,SILENT
FUN_0603F4BE,0x0603F4BA,0,0,SILENT
FUN_0603F504,0x0603F500,0,0,SILENT
FUN_0603F508,0x0603F504,0,0,SILENT
FUN_0603F534,0x0603F530,1,0,REAL_FIRE
FUN_0603F58C,0x0603F588,0,0,SILENT
FUN_0603F5FE,0x0603F5FA,0,0,SILENT
FUN_0603F61C,0x0603F618,1,0,REAL_FIRE
FUN_0603F6BE,0x0603F6BA,3,1,REAL_FIRE
FUN_0603F6F8,0x0603F6F4,3,3,REAL_FIRE
FUN_0603F75C,0x0603F758,1,0,REAL_FIRE
FUN_0603F770,0x0603F76C,1,0,REAL_FIRE
FUN_0603F7B8,0x0603F7B4,1,0,REAL_FIRE
FUN_0603F8AC,0x0603F8A8,5,0,REAL_FIRE
FUN_0603F99C,0x0603F998,3,4,REAL_FIRE
FUN_0603F9E8,0x0603F9E4,0,0,SILENT
FUN_0603FA1E,0x0603FA1A,0,0,SILENT
FUN_0603FA54,0x0603FA50,0,0,SILENT
FUN_0603FAA8,0x0603FAA4,0,0,SILENT
FUN_0603FABE,0x0603FABA,0,0,SILENT
FUN_0603FAD4,0x0603FAD0,0,0,SILENT
FUN_0603FAEA,0x0603FAE6,0,0,SILENT
FUN_0603FBD0,0x0603FBCC,0,0,SILENT
FUN_0603FBFC,0x0603FBF8,0,0,SILENT
FUN_0603FC10,0x0603FC0C,0,0,SILENT
FUN_0603FC70,0x0603FC6C,0,0,SILENT
FUN_0603FC84,0x0603FC80,0,0,SILENT
FUN_0603FCC4,0x0603FCC0,0,0,SILENT
FUN_0603FCF0,0x0603FCEC,0,0,SILENT
FUN_0603FD08,0x0603FD04,0,0,SILENT
FUN_0603FD20,0x0603FD1C,0,0,SILENT
